Sector_score,LOCATION_ID,PARA_A,Score_A,Risk_A,PARA_B,Score_B,Risk_B,TOTAL,numbers,Score_B,Risk_C,Money_Value,Score_MV,Risk_D,District_Loss,PROB,RiSk_E,History,Prob,Risk_F,Score,Inherent_Risk,CONTROL_RISK,Detection_Risk,Audit_Risk,Risk
3.89,24,6.26,0.6,3.756,14.1,0.6,8.46,20.36,5,0.2,1,34.24,0.6,20.544,2,0.2,0.4,1,0.4,0.4,4.2,34.56,0.8,0.5,13.824,1
3.89,3,0.02,0.2,0.004,5.94,0.4,2.376,5.96,5,0.2,1,0.01,0.2,0.002,2,0.2,0.4,0,0.2,0,2.6,3.782,0.4,0.5,0.7564,0
3.89,3,5.31,0.6,3.186,22.79,0.6,13.674,28.1,5,0.2,1,205.19,0.6,123.114,2,0.2,0.4,1,0.4,0.4,4.2,141.774,0.8,0.5,56.7096,1
3.89,3,0.94,0.2,0.188,0.01,0.2,0.002,0.95,5,0.2,1,0.1,0.2,0.02,2,0.2,0.4,0,0.2,0,2,1.61,0.4,0.5,0.322,0
3.89,19,1.32,0.4,0.528,0,0.2,0,1.32,5,0.2,1,0.06,0.2,0.012,2,0.2,0.4,0,0.2,0,2.2,1.94,0.4,0.5,0.388,0
3.89,19,0,0.2,0,1.03,0.2,0.206,1.03,5,0.2,1,2.43,0.2,0.486,2,0.2,0.4,0,0.2,0,2,2.092,0.4,0.5,0.4184,0
3.89,21,0,0.2,0,15.38,0.6,9.228,15.38,5,0.2,1,126.13,0.6,75.678,2,0.2,0.4,0,0.2,0,3.6,86.306,0.4,0.5,17.2612,1
3.89,21,0,0.2,0,1.02,0.2,0.204,1.02,5,0.2,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2,1.604,0.4,0.5,0.3208,0
3.89,21,0,0.2,0,20.71,0.6,12.426,20.71,5,0.2,1,20.79,0.6,12.474,2,0.2,0.4,2,0.6,1.2,4,27.5,1.6,0.5,22,1
3.89,22,2.95,0.6,1.77,6.56,0.4,2.624,9.51,5,0.2,1,156.92,0.6,94.152,2,0.2,0.4,0,0.2,0,3.4,99.946,0.4,0.5,19.9892,1
3.89,22,1.97,0.4,0.788,2.1,0.2,0.42,4.07,5,0.2,1,12.29,0.6,7.374,2,0.6,1.2,0,0.2,0,3,10.782,1.2,0.5,6.4692,1
3.89,22,0,0.2,0,18.05,0.6,10.83,18.05,5,0.2,1,2.29,0.2,0.458,2,0.2,0.4,0,0.2,0,3.2,12.688,0.4,0.5,2.5376,1
3.89,22,0,0.2,0,0.93,0.2,0.186,0.93,5,0.2,1,7.78,0.4,3.112,2,0.2,0.4,0,0.2,0,2.2,4.698,0.4,0.5,0.9396,0
3.89,9,0,0.2,0,1.61,0.2,0.322,1.61,5,0.2,1,2.51,0.2,0.502,2,0.2,0.4,0,0.2,0,2,2.224,0.4,0.5,0.4448,0
3.89,9,6.32,0.6,3.792,9.01,0.4,3.604,15.33,5,0.2,1,8.31,0.4,3.324,2,0.2,0.4,0,0.2,0,3.2,12.12,0.4,0.5,2.424,1
3.89,9,0,0.2,0,1.05,0.2,0.21,1.05,5,0.2,1,0.16,0.2,0.032,2,0.2,0.4,0,0.2,0,2,1.642,0.4,0.5,0.3284,0
3.89,11,0,0.2,0,6.8,0.4,2.72,6.8,5,0.2,1,47.9,0.6,28.74,2,0.2,0.4,0,0.2,0,3,32.86,0.4,0.5,6.572,1
3.89,11,14.04,0.6,8.424,10.83,0.6,6.498,24.87,5,0.2,1,8.91,0.4,3.564,2,0.2,0.4,0,0.2,0,3.8,19.886,0.4,0.5,3.9772,1
3.89,11,6.67,0.6,4.002,18.02,0.6,10.812,24.69,5.5,0.4,2.2,4.95,0.2,0.99,2,0.2,0.4,2,0.6,1.2,4.4,19.604,1.6,0.5,15.6832,1
3.89,11,0,0.2,0,0,0.2,0,0,5,0.2,1,1.75,0.2,0.35,2,0.2,0.4,0,0.2,0,2,1.75,0.4,0.5,0.35,0
3.89,11,0,0.2,0,0.08,0.2,0.016,0.08,5,0.2,1,0.68,0.2,0.136,2,0.2,0.4,0,0.2,0,2,1.552,0.4,0.5,0.3104,0
3.89,11,1.26,0.4,0.504,0.05,0.2,0.01,1.31,5,0.2,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2.2,1.914,0.4,0.5,0.3828,0
3.89,12,0,0.2,0,0.03,0.2,0.006,0.03,5,0.2,1,0.06,0.2,0.012,2,0.2,0.4,0,0.2,0,2,1.418,0.4,0.5,0.2836,0
3.89,12,0,0.2,0,0.79,0.2,0.158,0.79,5,0.2,1,15.82,0.6,9.492,2,0.2,0.4,0,0.2,0,2.4,11.05,0.4,0.5,2.21,1
3.89,12,4.76,0.6,2.856,13.03,0.6,7.818,17.79,5,0.2,1,0.58,0.2,0.116,2,0.2,0.4,1,0.4,0.4,3.8,12.59,0.8,0.5,5.036,1
3.89,12,8.81,0.6,5.286,9.02,0.4,3.608,17.83,5,0.2,1,215.31,0.6,129.186,2,0.2,0.4,1,0.4,0.4,3.6,139.88,0.8,0.5,55.952,1
3.89,12,0,0.2,0,0.07,0.2,0.014,0.07,5,0.2,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2,1.414,0.4,0.5,0.2828,0
3.89,12,13.92,0.6,8.352,2.2,0.2,0.44,16.12,5,0.2,1,0.05,0.2,0.01,2,0.2,0.4,0,0.2,0,2.4,10.202,0.4,0.5,2.0404,1
3.89,12,1.07,0.4,0.428,0,0.2,0,1.07,5,0.2,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2.2,1.828,0.4,0.5,0.3656,0
3.89,12,0,0.2,0,0.89,0.2,0.178,0.89,5,0.2,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2,1.578,0.4,0.5,0.3156,0
3.89,8,0,0.2,0,3.98,0.2,0.796,3.98,6,0.6,3.6,53.34,0.6,32.004,2,0.2,0.4,0,0.2,0,3.2,36.8,0.4,0.5,7.36,1
3.89,8,10,0.6,6,74.26,0.6,44.556,84.26,5.5,0.4,2.2,11.16,0.6,6.696,2,0.2,0.4,3,0.6,1.8,4.8,61.652,2.2,0.5,67.8172,1
3.89,29,4.24,0.6,2.544,8.06,0.4,3.224,12.3,5,0.2,1,10.69,0.6,6.414,2,0.2,0.4,0,0.2,0,3.4,13.582,0.4,0.5,2.7164,1
3.89,29,12.27,0.6,7.362,72.46,0.6,43.476,84.73,5,0.2,1,5.69,0.4,2.276,2,0.2,0.4,0,0.2,0,3.8,54.514,0.4,0.5,10.9028,1
3.89,29,0,0.2,0,0.96,0.2,0.192,0.96,5,0.2,1,1.35,0.2,0.27,2,0.2,0.4,0,0.2,0,2,1.862,0.4,0.5,0.3724,0
3.89,30,12.7,0.6,7.62,1.28,0.2,0.256,13.98,5,0.2,1,11.69,0.6,7.014,2,0.2,0.4,0,0.2,0,2.8,16.29,0.4,0.5,3.258,1
3.89,38,0,0.2,0,63.13,0.6,37.878,63.13,5,0.2,1,14.6,0.6,8.76,2,0.2,0.4,1,0.4,0.4,3.8,48.438,0.8,0.5,19.3752,1
3.89,31,1.99,0.4,0.796,10.24,0.6,6.144,12.23,5,0.2,1,20.78,0.6,12.468,2,0.2,0.4,0,0.2,0,3.8,20.808,0.4,0.5,4.1616,1
3.89,2,0.05,0.2,0.01,0.21,0.2,0.042,0.26,5.5,0.4,2.2,102.22,0.6,61.332,2,0.2,0.4,0,0.2,0,2.8,63.984,0.4,0.5,12.7968,1
3.89,2,0,0.2,0,7.37,0.4,2.948,7.37,5,0.2,1,0.74,0.2,0.148,2,0.2,0.4,0,0.2,0,2.6,4.496,0.4,0.5,0.8992,0
3.89,2,0,0.2,0,3.72,0.2,0.744,3.72,5,0.2,1,0,0.2,0,2,0.2,0.4,9,0.6,5.4,2.4,7.544,5.8,0.5,21.8776,1
3.89,2,71.48,0.6,42.888,25.63,0.6,15.378,97.11,5,0.2,1,873.37,0.6,524.022,2,0.2,0.4,0,0.2,0,4,583.688,0.4,0.5,116.7376,1
3.89,2,0,0.2,0,0,0.2,0,0,5,0.2,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2,1.4,0.4,0.5,0.28,0
3.89,2,0.74,0.2,0.148,1,0.2,0.2,1.74,5,0.2,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2,1.748,0.4,0.5,0.3496,0
3.89,2,0,0.2,0,0.58,0.2,0.116,0.58,5,0.2,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2,1.516,0.4,0.5,0.3032,0
3.89,9,8.46,0.6,5.076,72.76,0.6,43.656,81.22,5,0.2,1,1.4,0.2,0.28,2,0.4,0.8,2,0.6,1.2,4.2,52.012,2,0.5,52.012,1
3.89,9,0.42,0.2,0.084,0.07,0.2,0.014,0.49,5,0.2,1,0.42,0.2,0.084,2,0.2,0.4,0,0.2,0,2,1.582,0.4,0.5,0.3164,0
3.89,32,0.01,0.2,0.002,1.29,0.2,0.258,1.3,5.5,0.4,2.2,36.52,0.6,21.912,4,0.2,0.8,0,0.2,0,3,25.172,0.8,0.5,10.0688,1
3.89,32,6.85,0.6,4.11,65.93,0.6,39.558,72.78,5.5,0.4,2.2,6.02,0.4,2.408,4,0.2,0.8,0,0.2,0,4.4,49.076,0.8,0.5,19.6304,1
3.89,32,5.37,0.6,3.222,8.62,0.4,3.448,13.99,5,0.2,1,17.16,0.6,10.296,4,0.2,0.8,0,0.2,0,3.6,18.766,0.8,0.5,7.5064,1
